article_id,label,label_text
0,2,Business
1,2,Business
2,2,Business
3,2,Business
4,2,Business
5,2,Business
6,2,Business
7,2,Business
8,2,Business
9,2,Business
10,2,Business
11,2,Business
12,2,Business
13,2,Business
14,2,Business
15,2,Business
16,2,Business
17,2,Business
18,2,Business
19,2,Business
20,2,Business
21,2,Business
22,2,Business
23,2,Business
24,2,Business
25,2,Business
26,2,Business
27,2,Business
28,2,Business
29,2,Business
30,2,Business
31,2,Business
32,2,Business
33,2,Business
34,2,Business
35,2,Business
36,2,Business
37,2,Business
38,2,Business
39,2,Business
40,2,Business
41,2,Business
42,2,Business
43,2,Business
44,2,Business
45,2,Business
46,2,Business
47,2,Business
48,2,Business
49,2,Business
50,2,Business
51,2,Business
52,2,Business
53,2,Business
54,2,Business
55,2,Business
56,2,Business
57,2,Business
58,2,Business
59,2,Business
60,2,Business
61,2,Business
62,2,Business
63,2,Business
64,2,Business
65,2,Business
66,2,Business
67,2,Business
68,2,Business
69,2,Business
70,2,Business
71,2,Business
72,2,Business
73,2,Business
74,2,Business
75,2,Business
76,2,Business
77,2,Business
78,3,Sci/Tech
79,3,Sci/Tech
80,3,Sci/Tech
81,3,Sci/Tech
82,3,Sci/Tech
83,3,Sci/Tech
84,3,Sci/Tech
85,3,Sci/Tech
86,3,Sci/Tech
87,3,Sci/Tech
88,3,Sci/Tech
89,3,Sci/Tech
90,3,Sci/Tech
91,3,Sci/Tech
92,3,Sci/Tech
93,3,Sci/Tech
94,3,Sci/Tech
95,3,Sci/Tech
96,3,Sci/Tech
97,3,Sci/Tech
98,3,Sci/Tech
99,3,Sci/Tech
100,3,Sci/Tech
101,3,Sci/Tech
102,3,Sci/Tech
103,3,Sci/Tech
104,3,Sci/Tech
105,3,Sci/Tech
106,3,Sci/Tech
107,3,Sci/Tech
108,3,Sci/Tech
109,3,Sci/Tech
110,3,Sci/Tech
111,3,Sci/Tech
112,3,Sci/Tech
113,3,Sci/Tech
114,3,Sci/Tech
115,3,Sci/Tech
116,3,Sci/Tech
117,3,Sci/Tech
118,3,Sci/Tech
119,3,Sci/Tech
120,3,Sci/Tech
121,3,Sci/Tech
122,3,Sci/Tech
123,3,Sci/Tech
124,3,Sci/Tech
125,3,Sci/Tech
126,3,Sci/Tech
127,3,Sci/Tech
128,3,Sci/Tech
129,3,Sci/Tech
130,3,Sci/Tech
131,3,Sci/Tech
132,3,Sci/Tech
133,3,Sci/Tech
134,3,Sci/Tech
135,3,Sci/Tech
136,3,Sci/Tech
137,3,Sci/Tech
138,3,Sci/Tech
139,3,Sci/Tech
140,3,Sci/Tech
141,3,Sci/Tech
142,3,Sci/Tech
143,3,Sci/Tech
144,3,Sci/Tech
145,3,Sci/Tech
146,3,Sci/Tech
147,3,Sci/Tech
148,3,Sci/Tech
149,3,Sci/Tech
150,3,Sci/Tech
151,3,Sci/Tech
152,3,Sci/Tech
153,3,Sci/Tech
154,3,Sci/Tech
155,3,Sci/Tech
156,3,Sci/Tech
157,3,Sci/Tech
158,3,Sci/Tech
159,3,Sci/Tech
160,3,Sci/Tech
161,3,Sci/Tech
162,3,Sci/Tech
163,3,Sci/Tech
164,3,Sci/Tech
165,3,Sci/Tech
166,3,Sci/Tech
167,3,Sci/Tech
168,3,Sci/Tech
169,3,Sci/Tech
170,3,Sci/Tech
171,3,Sci/Tech
172,3,Sci/Tech
173,3,Sci/Tech
174,3,Sci/Tech
175,3,Sci/Tech
176,3,Sci/Tech
177,3,Sci/Tech
178,3,Sci/Tech
179,3,Sci/Tech
180,3,Sci/Tech
181,3,Sci/Tech
182,3,Sci/Tech
183,3,Sci/Tech
184,3,Sci/Tech
185,3,Sci/Tech
186,3,Sci/Tech
187,3,Sci/Tech
188,3,Sci/Tech
189,3,Sci/Tech
190,3,Sci/Tech
191,3,Sci/Tech
192,3,Sci/Tech
193,3,Sci/Tech
194,3,Sci/Tech
